strain,date,DaysSinceRoot,Mutations
BHR/22220021487_S61_L001/2022,5/16/22,872,81
BHR/22280028481_S29_L001/2022,5/15/22,871,80
BHR/22340247661/2022,2/26/22,793,77
BHR/22350033661_S80_L001/2022,4/30/22,856,79
BHR/22350036653_S87_L001/2022,5/13/22,869,78
BHR/22530030550_S95_L001/2022,5/8/22,864,83
BHR/22690043453/2022,3/24/22,819,78
BHR/22920313451/2022,4/23/22,849,80
BHR/22920313484/2022,4/23/22,849,76
BHR/22920314358/2022,4/25/22,851,75
BHR/22920320972_S81_L001/2022,5/8/22,864,83
BHR/22920325152_S56_L001/2022,5/13/22,869,78
BHR/22920325514_S26_L001/2022,5/14/22,870,78
BHR/22920332273/2022,5/22/22,878,91
BHR/22920352610/2022,6/12/22,899,85
BHR/22920379490/2022,6/26/22,913,87
BHR/22920386019/2022,6/29/22,916,86
BHR/22920391023/2022,7/3/22,920,82
BHR/22970040842/2022,1/25/22,761,76
BHR/22970041212/2022,1/25/22,761,78
BHR/22970041612/2022,1/25/22,761,80
BHR/22970041754/2022,1/25/22,761,77
BHR/22970042135/2022,1/25/22,761,65
BHR/22970089446/2022,2/20/22,787,75
BHR/22970141990/2022,3/25/22,820,82
BHR/22970182889_S28_L001/2022,4/26/22,852,81
BHR/22970207132_S91_L001/2022,5/16/22,872,81
BHR/22970259554/2022,6/27/22,914,87
BHR/270154193/2020,7/9/20,196,15
BHR/310102316/2020,12/22/20,362,19
BHR/340564387_S8_L001/2020,8/25/20,243,15
BHR/341182453/2020,12/15/20,355,19
BHR/341213916/2020,12/22/20,362,25
BHR/342175651/2021,5/27/21,518,40
BHR/342398010/2021,7/23/21,575,33
BHR/342425313/2021,8/1/21,584,39
BHR/5902250574/2022,2/22/22,789,78
BHR/70102066/2022,3/7/22,802,77
BHR/720704871/2022,3/9/22,804,75
BHR/811247236/2022,3/9/22,804,74
BHR/821167910/2022,3/2/22,797,76
BHR/960529799/2022,3/9/22,804,76
BHR/R115902240355/2022,2/16/22,783,77
BHR/R15902257412/2022,2/27/22,794,77
BHR/R15902297734/2022,3/22/22,817,76
BHR/R15902304869/2022,3/27/22,822,86
BHR/R15902365747_S58_L001/2022,5/7/22,863,79
BHR/R15902373404_S53_L001/2022,5/11/22,867,80
BHR/R15902429358/2022,6/13/22,900,88
BHR/R35902298383/2022,4/19/22,845,79
BHR/R422690048612/2022,4/17/22,843,75
BHR/R422690054287_S9_L001/2022,5/19/22,875,81
BHR/R522690032411/2022,2/18/22,785,77
BHR/R55902257077/2022,2/27/22,794,73
BRA/684/2020,12/17/20,357,21
BRA/CRO-1001-032/2022,1/10/22,746,57
BRA/DF-NVBS9191GENOV828248994338/2021,10/11/21,655,42
BRA/DF-NXBS577GENOV827548415734/2021,5/10/21,501,38
BRA/GO-DNAGYN-223/2021,4/14/21,475,39
BRA/GO-DNAGYN-244/2021,1/22/21,393,30
BRA/GO-DNAGYN-48/2021,2/20/21,422,36
BRA/GO-NVBS1167GENOV700800029347/2021,6/10/21,532,40
BRA/HIAE-SP04/2020,3/20/20,85,9
BRA/ICO1052/2020,4/24/20,120,10
BRA/MASP2C844R2/2020,11/21/20,331,15
BRA/MT21770/2020,8/23/20,241,20
BRA/PR-HF109/2021,3/2/21,432,33
BRA/PR-NVBS10033GENOV828363180517/2021,11/5/21,680,47
BRA/PR-NVBS4592GENOV827934966208/2021,8/4/21,587,41
BRA/RJ-DCVN3/2020,7/20/20,207,4
BRA/RJ-NVBS6636GENOV828103202585/2021,9/10/21,624,41
BRA/SP-NVBS11676GENOV828532904784/2021,12/11/21,716,42
BRA/SP-NVBS2722GENOV827828080317/2021,7/10/21,562,40
BRA/SP02/2020,2/28/20,64,4
BRA/SPPU-1460/2020,5/11/20,137,12
BRA/SPPU-2119/2020,6/9/20,166,28
Chile/CL-RM-UW21071349152/2021,7/13/21,565,41
CHL/AR-UFRO-0005/2021,8/6/21,589,37
CHL/AR-UFRO-0077/2021,9/29/21,643,37
CHL/AR-UFRO-0212/2021,10/13/21,657,37
CHL/AR-UFRO-0436/2021,11/8/21,683,39
CHL/AR-UFRO-0492/2021,12/5/21,710,37
CHL/Santiago-5132606/2020,6/8/20,165,11
CHL/Santiago-MCC9783/2020,5/6/20,132,9
CHL/Santiago-PUC_MVL_0027/2020,3/25/20,90,7
CHL/Santiago-PUC_MVL_0226/2020,4/25/20,121,11
CHN/HN07/2020,4/2/20,98,8
CHN/NBCDC_20220315_HuYibo/2022,3/15/22,810,81
CHN/NJ_02/2022,2/10/22,777,74
CHN/NJ_07/2022,2/10/22,777,73
CHN/NJ_08/2022,2/10/22,777,73
CHN/NJ_16/2022,2/10/22,777,73
CHN/NJ_17/2022,2/10/22,777,74
CHN/O-changhai-2-1-S1/2022,4/7/22,833,83
CHN/O-changhai-2-11-S5/2022,4/7/22,833,83
CHN/O-changhai-2-13-S6/2022,4/8/22,834,83
CHN/O-changhai-2-21-S10/2022,4/10/22,836,82
CHN/O-changhai-2-21-S9/2022,4/11/22,837,83
CHN/O-changhai-2-24-S13/2022,4/10/22,836,82
CHN/O-changhai-2-25-S14/2022,4/10/22,836,84
CHN/O-changhai-2-26-S15/2022,4/11/22,837,83
CHN/O-changhai-2-28-S17/2022,4/12/22,838,81
CHN/O-changhai-2-34-S22/2022,4/19/22,845,83
CHN/O-changhai-2-39-S26/2022,4/18/22,844,83
CHN/O-changhai-2-43-s28/2022,5/12/22,868,83
CHN/O-changhai-2-47-S30/2022,4/19/22,845,84
CHN/O-changhai-2-51-S34/2022,4/28/22,854,85
CHN/O-changhai-2-55-S37/2022,4/29/22,855,83
CHN/RS4_pool/2021,1/16/21,387,25
CHN/WX_812/2020,8/12/20,230,17
COL/79256_Antioquia/2020,3/11/20,76,5
COL/Cali-01/2020,4/2/20,98,7
Colombia/CO-ANT-UW21112682564/2021,11/26/21,701,44
Colombia/CO-DC-UW21071958902/2021,7/19/21,571,40
Colombia/CO-DC-UW22010360766/2022,1/3/22,739,59
Colombia/CO-SAN-UW21120641495/2021,12/6/21,711,39
CZE/IAB_14/2020,4/27/20,123,9
CZE/IAB_8/2020,3/26/20,91,11
CZE/JCUCB118-181/2020,11/23/20,333,20
Denmark/DCGC-111806/2021,3/29/21,459,34
Denmark/DCGC-153914/2021,8/7/21,590,35
Denmark/DCGC-237409/2021,11/18/21,693,41
Denmark/DCGC-332437/2022,1/19/22,755,74
Denmark/DCGC-338433/2022,1/22/22,758,56
Denmark/DCGC-350021/2022,1/27/22,763,75
Denmark/DCGC-362488/2022,2/4/22,771,75
Denmark/DCGC-384245/2022,2/18/22,785,76
Denmark/DCGC-385001/2022,2/17/22,784,75
Denmark/DCGC-386019/2022,2/16/22,783,61
Denmark/DCGC-391256/2022,2/20/22,787,79
Denmark/DCGC-391298/2022,2/21/22,788,74
Denmark/DCGC-393732/2022,2/22/22,789,79
Denmark/DCGC-400461/2022,2/26/22,793,78
Denmark/DCGC-403009/2022,2/28/22,795,75
Denmark/DCGC-404057/2022,2/28/22,795,79
Denmark/DCGC-407048/2022,3/2/22,797,76
Denmark/DCGC-408171/2022,3/1/22,796,80
Denmark/DCGC-409201/2022,3/1/22,796,77
Denmark/DCGC-410344/2022,3/2/22,797,77
Denmark/DCGC-411633/2022,3/4/22,799,77
Denmark/DCGC-412967/2022,3/5/22,800,79
Denmark/DCGC-424136/2022,3/8/22,803,76
Denmark/DCGC-433957/2022,3/14/22,809,77
Denmark/DCGC-435263/2022,3/13/22,808,76
Denmark/DCGC-442168/2022,3/19/22,814,76
Denmark/DCGC-458004/2022,3/26/22,821,77
Denmark/DCGC-458816/2022,3/27/22,822,80
Denmark/DCGC-458877/2022,3/27/22,822,74
Denmark/DCGC-464846/2022,3/8/22,803,81
Denmark/DCGC-470173/2022,4/3/22,829,78
Denmark/DCGC-481683/2022,4/10/22,836,77
Denmark/DCGC-483543/2022,4/12/22,838,76
Denmark/DCGC-486497/2022,4/13/22,839,76
Denmark/DCGC-486707/2022,4/6/22,832,75
Denmark/DCGC-487117/2022,4/16/22,842,78
Denmark/DCGC-487132/2022,4/16/22,842,78
Denmark/DCGC-487847/2022,4/16/22,842,77
Denmark/DCGC-501650/2022,4/6/22,832,76
Denmark/DCGC-502204/2022,4/5/22,831,76
Denmark/DCGC-503263/2022,4/25/22,851,81
Denmark/DCGC-504680/2022,4/13/22,839,76
Denmark/DCGC-505818/2022,4/29/22,855,78
Denmark/DCGC-506335/2022,4/21/22,847,78
Denmark/DCGC-509546/2022,5/2/22,858,76
Denmark/DCGC-510756/2022,5/5/22,861,77
Denmark/DCGC-512146/2022,5/6/22,862,77
Denmark/DCGC-512225/2022,5/4/22,860,85
Denmark/DCGC-513295/2022,5/9/22,865,75
Denmark/DCGC-514277/2022,5/11/22,867,82
Denmark/DCGC-514422/2022,5/13/22,869,78
Denmark/DCGC-517022/2022,5/6/22,862,79
Denmark/DCGC-517748/2022,5/14/22,870,83
Denmark/DCGC-518797/2022,2/16/22,783,77
Denmark/DCGC-520598/2022,5/9/22,865,80
Denmark/DCGC-522795/2022,5/24/22,880,82
Denmark/DCGC-523173/2022,5/18/22,874,76
Denmark/DCGC-524520/2022,5/30/22,886,82
DJI/NAMRU3_013/2020,6/15/20,172,17
DJI/NAMRU3_022/2020,6/21/20,178,17
DJI/NAMRU3_024/2020,6/21/20,178,17
DJI/NAMRU3_80/2021,1/18/21,389,23
DJI/NAMRU3_A161_2022/2022,1/3/22,739,59
DJI/NAMRU3_B347/2021,4/3/21,464,31
DJI/NAMRU3_B543/2022,1/18/22,754,60
DJI/NAMRU3_B546/2022,1/18/22,754,55
DJI/NAMRU3_B552/2022,1/21/22,757,58
DJI/NAMRU3_B665/2022,1/20/22,756,56
DJI/NAMRU3_B670/2022,1/19/22,755,59
DJI/NAMRU3_B673/2022,1/20/22,756,57
DJI/NAMRU3_B674/2022,1/20/22,756,59
DJI/NAMRU3_B675/2022,1/19/22,755,59
DJI/NAMRU3_B680/2022,1/20/22,756,58
DJI/NAMRU3_B699/2022,1/19/22,755,57
DJI/NAMRU3_B704/2022,1/19/22,755,58
DJI/NAMRU3_B780/2022,1/21/22,757,57
DJI/NAMRU3_B802/2022,1/21/22,757,57
DJI/NAMRU3_B832/2022,1/24/22,760,57
DJI/NAMRU3_B834/2022,1/23/22,759,56
DJI/NAMRU3_B851/2022,1/20/22,756,59
DJI/NAMRU3_B852/2022,1/20/22,756,59
DJI/NAMRU3_B858/2022,2/1/22,768,55
DJI/NAMRU3_B859/2022,2/2/22,769,75
DJI/NAMRU3_B860/2022,2/4/22,771,55
DJI/NAMRU3_B863/2022,2/1/22,768,56
DJI/NAMRU3_B864/2022,2/2/22,769,57
DJI/NAMRU3_B865/2022,2/6/22,773,58
DJI/NAMRU3_B868/2022,1/31/22,767,55
DJI/NAMRU3_B869/2022,1/31/22,767,57
DJI/NAMRU3_B871/2022,1/31/22,767,55
DJI/NAMRU3_B872/2022,1/30/22,766,57
DJI/NAMRU3_B877/2022,1/28/22,764,57
DJI/NAMRU3_B878/2022,1/30/22,766,57
DJI/NAMRU3_B879/2022,1/30/22,766,55
DJI/NAMRU3_B882/2022,2/2/22,769,56
DJI/NAMRU3_B884/2022,2/1/22,768,58
DJI/NAMRU3_B896/2022,1/30/22,766,55
DJI/NAMRU3_B950/2022,1/29/22,765,56
DJI/NAMRU3_B961/2022,2/1/22,768,56
DJI/NAMRU3_C082/2022,1/26/22,762,57
DJI/NAMRU3_C103/2022,1/26/22,762,57
DJI/NAMRU3_C106/2022,1/25/22,761,56
DJI/NAMRU3_C111/2022,1/27/22,763,56
DJI/NAMRU3_C112/2022,1/26/22,762,56
DJI/NAMRU3_C114/2022,1/27/22,763,55
DJI/NAMRU3_C116/2022,1/27/22,763,58
DJI/NAMRU3_C119/2022,1/27/22,763,56
DJI/NAMRU3_C120/2022,1/26/22,762,55
DJI/NAMRU3_C126/2022,1/26/22,762,55
DJI/NAMRU3_C162/2022,2/4/22,771,58
DJI/NAMRU3_C232/2022,2/7/22,774,56
DJI/NAMRU3_C233/2022,2/4/22,771,58
DJI/NAMRU3_C583/2022,2/6/22,773,58
DJI/NAMRU3_C585/2022,2/15/22,782,75
DJI/NAMRU3_C586/2022,2/11/22,778,58
DJI/NAMRU3_C594/2021,2/26/21,428,39
DJI/NAMRU3_C594/2022,2/8/22,775,58
DJI/NAMRU3_C595/2022,2/7/22,774,55
DJI/NAMRU3_C614/2022,2/7/22,774,57
DJI/NAMRU3_C638/2021,2/27/21,429,38
DJI/NAMRU3_C658/2022,2/8/22,775,58
DJI/NAMRU3_C675/2021,6/30/21,552,36
DJI/NAMRU3_C827/2022,4/1/22,827,79
DJI/NAMRU3_C833/2022,4/2/22,828,79
DJI/NAMRU3_C851/2022,4/27/22,853,80
DJI/NAMRU3_C852/2022,4/27/22,853,80
DJI/NAMRU3_C853/2022,4/27/22,853,80
DJI/NAMRU3_C868/2022,4/27/22,853,80
DJI/NAMRU3_CADJ_123/2022,1/18/22,754,57
DJI/NAMRU3_E089/2022,4/14/22,840,78
DJI/NAMRU3_E34/2021,1/28/21,399,37
DJI/NAMRU3_E379/2022,4/27/22,853,80
DJI/NAMRU3_E424/2022,4/27/22,853,80
DJI/NAMRU3_E452/2022,4/27/22,853,81
DJI/NAMRU3_E467/2022,4/29/22,855,80
DJI/NAMRU3_E501/2022,4/29/22,855,80
DJI/NAMRU3_E502/2022,4/28/22,854,80
DJI/NAMRU3_E521/2022,4/29/22,855,80
DJI/NAMRU3_E938/2022,4/30/22,856,83
DJI/NAMRU3_E944/2022,4/30/22,856,81
DJI/NAMRU3_E945/2022,4/30/22,856,80
DJI/NAMRU3_E952/2022,4/29/22,855,80
DJI/NAMRU3_E953/2022,4/30/22,856,80
DJI/NAMRU3_EB1/2020,10/21/20,300,16
DJI/NAMRU3_G594/2022,4/13/22,839,80
DJI/NAMRU3_G638_2021/2021,11/23/21,698,40
DJI/NAMRU3_G791/2022,4/27/22,853,80
DJI/NAMRU3_G793/2022,4/27/22,853,80
DJI/NAMRU3_G796/2022,4/27/22,853,80
DJI/NAMRU3_SOTF_EA_35/2022,1/20/22,756,60
DJI/NAMRU3_SOTF_EA12/2021,2/25/21,427,38
DJI/NAMRU3_TF_508/2022,1/18/22,754,57
DOM/1563653/2021,11/30/21,705,48
DominicanRepublic/UN-CDC-3952108-001/2020,12/27/20,367,30
EGY/CCHE57357_W3_A146/2021,5/10/21,501,33
EGY/CCHE57357_Wave_3_A066/2021,5/10/21,501,40
EGY/CCHE57357_Wave_4_096/2021,10/21/21,665,56
EGY/CUNCI-HGC6I015/2020,6/2/20,159,12
EGY/EGY-Wave4-004/2021,8/4/21,587,40
EGY/EGY-Wave4-011/2021,9/4/21,618,39
EGY/PHARCO-ARMY25/2021,2/9/21,411,25
EGY/Third-Wave-EGY-ARMY31/2021,4/9/21,470,31
England/ALDP-11CCB92/2021,1/31/21,402,34
England/ALDP-166FBC9/2021,6/7/21,529,39
England/ALDP-8B65F3/2020,6/29/20,186,11
England/BRIS-125259/2020,3/27/20,92,6
England/BRIS-127FBA/2020,4/18/20,114,8
England/CAMC-14E79A3/2021,4/8/21,469,31
England/LOND-125FBEE/2020,3/10/20,75,4
England/MILK-82CCA8/2020,7/18/20,205,14
England/MILK-95852F/2020,6/9/20,166,13
England/MILK-B88B5F/2020,11/13/20,323,22
England/MILK-D1E66A/2020,12/21/20,361,33
ESP/Rota_33/2021,7/29/21,581,32
ESP/Rota_39/2021,7/29/21,581,31
Estonia/Cov0222/2020,9/14/20,263,16
Estonia/Cov10540/2021,3/19/21,449,33
Estonia/Cov7298/2021,1/2/21,373,18
Estonia/Cov7703/2020,12/26/20,366,28
ETH/39379_S7_L001_1/2020,12/20/20,360,19
ETH/39650_S8_L001_1/2020,12/20/20,360,20
ETH/S11/2021,1/28/21,399,32
ETH/S15/2021,5/1/21,492,17
Feliscatus/PER/UPCH_sc2_cat3/2021,5/2/21,493,30
FIN/1/2020,1/29/20,34,1
FIN/87HEL-VE6-H10/2020,12/18/20,358,31
FIN/FIN22-H10-THL-202039825/2020,11/30/20,340,22
FIN/FIN40-VE6-THL-202109869/2021,3/19/21,449,28
FIN/FIN45-VE6-THL-202121391/2021,6/19/21,541,35
FIN/FIN55-VE6-THL-202126660/2021,12/1/21,706,55
FIN/SR121-VE6-H10/2020,10/9/20,288,17
FRA/IHUCOVID-002865_Nova2/2020,12/7/20,347,26
FRA/IHUCOVID-008936_Illu1/2021,5/6/21,497,34
FRA/IHUCOVID-022886-N1/2021,7/26/21,578,33
FRA/IHUCOVID-028007_Nova1/2021,4/27/21,488,29
FRA/IHUCOVID-033646_Nova1/2020,3/28/20,93,10
FRA/IHUCOVID-035650_Nova1/2020,8/28/20,246,23
FRA/IHUCOVID-036077-NovaE/2021,4/30/21,491,35
FRA/IHUCOVID-038429-Nova1M/2021,10/15/21,659,34
FRA/IHUCOVID-041476_Nova1/2021,10/29/21,673,44
FRA/IHUCOVID-046215_Nova1/2021,2/5/21,407,24
FRA/IHUCOVID-061427_Nano1/2022,1/31/22,767,56
FRA/IHUCOVID-061607-N1M/2022,1/18/22,754,56
FRA/IHUCOVID-062558_Nano1/2022,2/7/22,774,57
FRA/IHUCOVID-062578_Nano1/2022,2/7/22,774,58
FRA/IHUCOVID-062933_Nova1/2022,1/24/22,760,57
FRA/IHUCOVID-063106_Nova1/2022,1/24/22,760,59
FRA/IHUCOVID-064074_Nano1/2022,2/14/22,781,75
FRA/IHUCOVID-064093_Nano1/2022,2/14/22,781,59
FRA/IHUCOVID-064256_Nova1RZ/2022,1/18/22,754,54
FRA/IHUCOVID-064265_Nova1RZ/2022,1/18/22,754,56
FRA/IHUCOVID-064281_Nova1RZ/2022,1/18/22,754,56
FRA/IHUCOVID-064388_Nova1RZ/2022,2/2/22,769,73
FRA/IHUCOVID-064600_Nova1RZ/2022,2/1/22,768,57
FRA/IHUCOVID-064662_Nova1RZ/2022,2/3/22,770,56
FRA/IHUCOVID-064709_Nova1RZ/2022,2/4/22,771,73
FRA/IHUCOVID-064720_Nova1RZ/2022,2/4/22,771,77
FRA/IHUCOVID-064760_Nova1RZ/2022,2/9/22,776,73
FRA/IHUCOVID-065053_Nano1/2022,2/21/22,788,77
FRA/IHUCOVID-065219_Nova1/2022,1/28/22,764,61
FRA/IHUCOVID-065321_Nova1/2022,1/20/22,756,58
FRA/IHUCOVID-065422_Nova1/2022,1/21/22,757,76
FRA/IHUCOVID-065504_Nova1/2022,1/21/22,757,58
FRA/IHUCOVID-065828_Nova1/2022,1/28/22,764,57
FRA/IHUCOVID-066371_Nova1/2022,2/7/22,774,59
FRA/IHUCOVID-066520_Nova1/2022,2/7/22,774,56
FRA/IHUCOVID-066790_Nova1/2022,2/14/22,781,60
FRA/IHUCOVID-071242-Miseq2M/2022,3/10/22,805,76
FRA/IHUCOVID-071284-Miseq2M/2022,3/11/22,806,75
FRA/IHUCOVID-071314-N1M/2022,3/7/22,802,58
FRA/IHUCOVID-071386-N1M/2022,3/7/22,802,77
FRA/IHUCOVID-071387-Miseq2M/2022,3/7/22,802,75
FRA/IHUCOVID-071405-Miseq2M/2022,3/7/22,802,79
FRA/IHUCOVID-071418-N1M/2022,3/7/22,802,61
FRA/IHUCOVID-071432-Miseq2M/2022,3/7/22,802,59
FRA/IHUCOVID-071432-N1M/2022,3/7/22,802,59
FRA/IHUCOVID-071466-N1M/2022,3/7/22,802,75
FRA/IHUCOVID-071611-N1M/2022,3/7/22,802,57
FRA/IHUCOVID-071613-Miseq2M/2022,3/7/22,802,76
FRA/IHUCOVID-071615-Miseq2M/2022,3/7/22,802,76
FRA/IHUCOVID-071626-N1M/2022,3/7/22,802,81
FRA/IHUCOVID-080068/2022,4/19/22,845,83
FRA/IHUMI-6145/2022,5/13/22,869,82
FRA/IHUMI6145/2022,5/13/22,869,81
GAB/24182-6C_Gabon/2021,8/31/21,614,40
GAB/3815L_Gabon/2020,6/24/20,181,10
GAB/4035L_Gabon/2020,7/2/20,189,13
GAB/56_Gabon/2020,3/14/20,79,3
GAB/5729_Gabon/2021,6/2/21,524,27
GAB/5870_Gabon/2021,6/9/21,531,29
GAB/627L_Gabon/2020,5/6/20,132,9
GAB/7003_Gabon/2021,8/18/21,601,42
GAB/7085_Gabon/2021,8/27/21,610,40
GEO/MM001352/2020,4/4/20,100,7
GEO/Tb-27822/2020,6/11/20,168,10
GHA/34928_S21/2020,5/23/20,149,9
GHA/84162_S45/2020,4/25/20,121,6
GHA/84430_S51/2020,5/25/20,151,8
GHA/WACCBIP_nCoV_GS07/2020,7/20/20,207,13
GHA/WACCBIP_nCoV_GS80/2021,1/6/21,377,34
GHA/WACCBIP_nCoV_GS92/2021,1/6/21,377,25
GIN/C2/2020,5/13/20,139,9
GIN/C3/2020,6/14/20,171,18
GMB/GC19-015/2020,3/17/20,82,9
GMB/GC19-026/2020,3/21/20,86,5
GMB/GC19-052/2020,3/24/20,89,9
GRC/220_35357/2020,3/18/20,83,5
GRC/234_31670/2020,3/5/20,70,6
GRC/260_32216/2020,3/10/20,75,6
HG994258,12/20/20,360,20
HG994274,11/5/20,315,14
HG994341,8/20/20,238,10
Homospiens/BHR/22020216849_S50_L001/2022,4/14/22,840,80
Homospiens/BHR/22020218925_S80_L001/2022,4/15/22,841,87
HOMOSPIENS/BHR/22350041427/2022,6/5/22,892,86
HOMOSPIENS/BHR/22600094190/2022,6/11/22,898,87
Homospiens/BHR/22690048022_S31_L001/2022,4/13/22,839,78
HOMOSPIENS/BHR/22690057019/2022,6/2/22,889,85
Homospiens/BHR/22970160985_S64_L001/2022,4/8/22,834,80
HOMOSPIENS/BHR/22970232530/2022,6/6/22,893,82
Homospiens/BHR/5902326850_S60_L001/2022,4/9/22,835,77
HOMOSPIENS/BHR/R15902411817/2022,6/2/22,889,81
HOMOSPIENS/BHR/R15902413482/2022,6/3/22,890,84
HOMOSPIENS/BHR/R15902413496/2022,6/3/22,890,86
HongKong/Case1166/2020,6/23/20,180,7
HongKong/HKPU-HKU-HD-Case-33/2022,1/26/22,762,48
HongKong/HKU-210804-001/2021,4/28/21,489,28
HongKong/HKU-220122-018/2021,12/24/21,729,46
HongKong/HKU-220213-027/2022,1/20/22,756,77
HongKong/HKU-220213-035/2022,1/21/22,757,77
HongKong/HKU-220213-067/2022,1/22/22,758,77
HongKong/HKU-220213-076/2022,1/23/22,759,77
HongKong/HKU-220213-093/2022,1/24/22,760,78
HongKong/HKU-220213-101/2022,1/26/22,762,77
HongKong/HKU-220213-118/2022,1/23/22,759,77
HongKong/HKU-220213-124/2022,1/25/22,761,77
HongKong/HKU-220213-240/2021,12/19/21,724,55
HongKong/HKU-220213-323/2021,12/29/21,734,57
HongKong/HKU-220213-354/2022,1/13/22,749,73
HongKong/HKU-220213-361/2022,1/18/22,754,57
HongKong/HKU-220213-379/2022,1/20/22,756,76
HongKong/HKU-220213-386/2022,1/20/22,756,55
