strain,date,url,clade_membership,current_frequency,mutational_fitness,country,region,division,genbank_accession,host,pango_lineage,S1_mutations,epiweek,emerging_lineage,recency,author,accession,submitting_lab,originating_lab,logistic_growth
USA/VA-QDX-2211/2020,2020-03-15,,19A,,-0.1,USA,North America,Virginia,MW191056,Homo sapiens,B,,202012,,Older,Rosenthal et al A,,Quest Diagnostics,Quest Diagnostics,
TLS/TL25/2020,2020-03-30,,19A,,-0.06,Timor-Leste,Asia,Timor-Leste,MT641778,Homo sapiens,B.35,,202014,,Older,Caly et al B,,The Peter Doherty Institute for Infection and Immunity,"National Health Laboratory, Timor-Leste",
BRA/SP02/2020,2020-02-28,,19A,,-0.1,Brazil,South America,Brazil,MT126808,Homo sapiens,B,,202009,,Older,Amgarten et al,,,,
OU799845,2020-05-01,,19A,,-0.1,United Kingdom,Europe,England,OU799845,Homo sapiens,B,,202018,,Older,? A,,Quadram Institute Bioscience,Quadram Institute Bioscience,
USA/CA-CDC-02993471-001/2020,2020-01-23,,19B,,-0.06,USA,North America,California,MN994467,Homo sapiens,A,,202004,,Older,Uehara et al,,,,
THA/SI202205-NT/2020,2020-02-07,,19B,,-0.05,Thailand,Asia,Thailand,MT447162,Homo sapiens,A,,202006,,Older,Rodpan et al A,,,,
USA/TX-CDC-03050000-001/2020,2020-02-11,,19B,,-0.02,USA,North America,Texas,MT106054,Homo sapiens,A,,202007,,Older,Queen et al B,,,,
THA/SI202620-NT/2020,2020-02-22,,19B,,-0.06,Thailand,Asia,Thailand,MT447163,Homo sapiens,A.6,,202008,,Older,Rodpan et al B,,,,
THA/CONI-0139/2020,2020-03-13,,19B,,-0.06,Thailand,Asia,Bangkok,ON878789,Homo sapiens,A.6,,202011,,One month ago,Batty et al A,,,,
THA/CONI-0146/2020,2020-03-15,,19B,,-0.06,Thailand,Asia,Bangkok,ON878796,Homo sapiens,A.6,1,202012,,One month ago,Batty et al B,,,,
VEN/1Z/2020,2020-03-16,,19B,,-0.07,Venezuela,South America,Venezuela,MT907515,Homo sapiens,A.2,1,202012,,Older,Loureiro et al A,,,,
PER/covper069/2020,2020-03-18,,19B,,-0.06,Peru,South America,Peru,MW030209,Homo sapiens,A.2,,202012,,Older,Juscamayta et al A,,,,
AUS/VIC1385/2020,2020-04-14,,19B,,-0.01,Australia,Oceania,Victoria,MW153053,Homo sapiens,A.2.2,,202016,,Older,Caly et al C,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
AUS/TAS15/2020,2020-04-10,,19B,,0,Australia,Oceania,Tasmania,MT973373,Homo sapiens,A.2.2,,202015,,Older,Sait et al A,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
AUS/TAS158/2020,2020-05-03,,19B,,0.03,Australia,Oceania,Tasmania,MT973468,Homo sapiens,A.2.2,1,202019,,Older,Sait et al B,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
AUS/TAS260/2020,2020-05-08,,19B,,0,Australia,Oceania,Tasmania,MT973326,Homo sapiens,A.2.2,,202019,,Older,Sait et al C,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
USA/VT-CDC-03068154-001/2020,2020-03-05,,19B,,-0.13,USA,North America,Vermont,MT472623,Homo sapiens,A.1,,202010,,Older,Queen et al C,,,,
PRY/WOR12903A600_202103266_2-4710511/2020,2020-03-08,,19B,,0.01,Paraguay,South America,Paraguay,ON017219,Homo sapiens,A.5,,202011,,Older,Vazquez et al A,,,,
PRY/WOR12903A659_202103274_2-4710620/2020,2020-04-09,,19B,,-0.06,Paraguay,South America,Paraguay,ON017230,Homo sapiens,A.5,,202015,,Older,Vazquez et al B,,,,
URY/Mdeo-1/2020,2020-03-13,,19B,,-0.06,Uruguay,South America,Uruguay,MT466071,Homo sapiens,A.5,,202011,,Older,Panzera et al A,,,,
COL/79256_Antioquia/2020,2020-03-11,,19B,,-0.06,Colombia,South America,Antioquia,MT256924,Homo sapiens,A.5,,202011,,Older,Mercado-Reyes et al,,,,
AUS/VIC07/2020,2020-02-08,,19B,,-0.04,Australia,Oceania,Victoria,MT450924,Homo sapiens,A,,202006,,Older,Seemann et al B,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
LR963416,2020-03-01,,19B,,-0.03,Zimbabwe,Africa,Zimbabwe,LR963416,Homo sapiens,A,,202010,,Older,Alikhan et al A,,Quadram Institute Bioscience,National Microbiology Reference Laboratory,
SouthAfrica/NHLS-UCT-GS-2931/2020,2020-05-09,,19B,,0,South Africa,Africa,South Africa,OM739099,Homo sapiens,A,,202019,,Older,Viana et al A,,,,
UGA/MUWRP-KIR200040S/2020,2020-07-31,,19B,,-0.01,Uganda,Africa,Uganda,OM811375,Homo sapiens,A.25,,202031,,Older,Byarugaba et al A,,,,
UGA/MUWRP-MUL013N/2020,2020-11-30,,19B,,0.1,Uganda,Africa,Uganda,OM811374,Homo sapiens,A.23.1,4,202049,,Older,Byarugaba et al B,,,,
UGA/MUWRP-KIR200176S/2020,2020-12-01,,19B,,0.12,Uganda,Africa,Uganda,OM811353,Homo sapiens,A.23.1,4,202049,,Older,Byarugaba et al C,,,,
OV044757,2020-03-23,,19B,,-0.04,Saudi Arabia,Asia,Makkah,OV044757,Homo sapiens,A,,202013,,Older,Naeem et al A,,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology (KAUST),
MLI/UCRC31/2020,2020-03-31,,19B,,0.02,Mali,Africa,Mali,MW474741,Homo sapiens,A,,202014,,Older,Diarra et al A,,,,
GHA/84162_S45/2020,2020-04-25,,19B,,-0.04,Ghana,Africa,Ghana,MT890242,Homo sapiens,A,,202017,,Older,Ngoi et al A,,,,
ITA/PA-IZSBM193-85_2020/2020,2020-06-29,,19B,,-0.06,Italy,Europe,Sicily,MW340799,Homo sapiens,A,,202027,,Older,Tramuto et al,,,,
USA/CT-Yale-088/2020,2020-04-06,,19B,,-0.04,USA,North America,New York,MT886404,Homo sapiens,A,,202015,,Older,Fauver et al A,,Yale School of Public Health,Yale COVID-19 Biorepository,
BEN/843/2020,2020-03-19,,19B,,-0.04,Benin,Africa,Benin,MT653078,Homo sapiens,A,,202012,,Older,Sander et al A,,,,
GHA/34928_S21/2020,2020-05-23,,19B,,0.01,Ghana,Africa,Ghana,MT890229,Homo sapiens,A.11,,202021,,Older,Ngoi et al B,,,,
AUS/QLD02/2020,2020-07-20,,19B,,-0.04,Australia,Oceania,Australia,MW772455,Homo sapiens,A,,202030,,Older,Parry et al A,,,,
GAB/56_Gabon/2020,2020-03-14,,19B,,-0.04,Gabon,Africa,Gabon,OM731936,Homo sapiens,A,,202011,,Older,Lekana-Douki et al A,,,,
AUS/SA01/2020,2020-01-30,,19A,,0,Australia,Oceania,South Australia,MT745746,Homo sapiens,B.1,,202005,,Older,Caly et al D,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
TUR/KOC-IST-B288/2020,2020-03-26,,20A,,0,Turkey,Europe,Turkey,MW199150,Homo sapiens,B.1.9,2,202013,,Older,Nurtop et al A,,,,
TUR/KOC-IST-B91/2020,2020-04-08,,20A,,0.01,Turkey,Europe,Turkey,MT675958,Homo sapiens,B.1.9.5,1,202015,,Older,Can et al,,,,
PER/covper055/2020,2020-04-01,,20A,,0.01,Peru,South America,Peru,MW030198,Homo sapiens,B.1,2,202014,,Older,Juscamayta et al B,,,,
GRC/234_31670/2020,2020-03-05,,20A,,0.01,Greece,Europe,Athens,MT459897,Homo sapiens,B.1,1,202010,,Older,Kassela et al B,,,,
FIN/FIN45-VE6-THL-202121391/2021,2021-06-19,,21H (Mu),,0.58,Finland,Europe,Finland,OM680003,Homo sapiens,B.1.621,8,202124,,Older,Laine et al A,,,,
USA/ME-CDC-QDX25497779/2021,2021-06-01,,21H (Mu),,0.56,USA,North America,Maine,OK250179,Homo sapiens,B.1.621.1,8,202122,,Older,Howard et al A,,,,
Colombia/CO-DC-UW21071958902/2021,2021-07-19,,21H (Mu),,0.59,Colombia,South America,Colombia,ON080876,Homo sapiens,B.1.621,9,202129,,Older,Roychoudhury et al A,,,,
SAU/509/2020,2020-02-09,,20A,,0.01,Saudi Arabia,Asia,Saudi Arabia,MT755885,Homo sapiens,B.1,1,202007,,Older,Alosaimi et al,,,,
FRA/IHUCOVID-035650_Nova1/2020,2020-08-28,,20A,,0.09,France,Europe,France,ON278832,Homo sapiens,B.1.160,2,202035,,Older,Levasseur et al A,,,,
Switzerland/ZH-ETHZ-530252/2020,2020-11-12,,20A,,0.09,Switzerland,Europe,Zürich,OU195831,Homo sapiens,B.1.160,3,202046,,Older,? B,,ETH ZURICH D-BSSE,"Department of Biosystems Science and Engineering, ETH Zürich,Mattenstrasse 26, 4058 Basel, Switzerland",
NOR/Bergen-02/2020,2020-09-25,,20A,,0.07,Norway,Europe,Vestland,OM616037,Homo sapiens,B.1.160,2,202039,,Older,Zhou et al A,,,,
THA/CONI-0287/2020,2020-11-03,,20A,,0.07,Thailand,Asia,Bangkok,ON878139,Homo sapiens,B.1.160,2,202045,,One month ago,Batty et al C,,,,
FRA/IHUCOVID-002865_Nova2/2020,2020-12-07,,20A,,0.1,France,Europe,France,ON288790,Homo sapiens,B.1.160,3,202050,,Older,Levasseur et al B,,,,
Switzerland/ZH-ETHZ-340012/2020,2020-10-23,,20A,,0.09,Switzerland,Europe,Zürich,OU195063,Homo sapiens,B.1.160,2,202043,,Older,? C,,ETH ZURICH D-BSSE,"Department of Biosystems Science and Engineering, ETH Zürich,Mattenstrasse 26, 4058 Basel, Switzerland",
ITA/201109-49/2020,2020-10-27,,20A,,0.09,Italy,Europe,Italy,OL989065,Homo sapiens,B.1.160,2,202044,,Older,Zhao et al A,,,,
FRA/IHUCOVID-046215_Nova1/2021,2021-02-05,,20A,,0.09,France,Europe,France,ON289196,Homo sapiens,B.1.160,2,202105,,Older,Levasseur et al C,,,,
OU078347,2021-01-28,,20A,,0.09,Germany,Europe,North Rhine Westphalia,OU078347,Homo sapiens,B.1.160,2,202104,,Older,? D,,Robert Koch Institute,"SYNLAB MVZ Leverkusen, 51371 Leverkusen",
NZL/20CV0606/2020,2020-11-25,,20A,,0.05,New Zealand,Oceania,Canterbury,OK426486,Homo sapiens,B.1.471,2,202048,,Older,Ren et al B,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
FIN/SR121-VE6-H10/2020,2020-10-09,,20A,,0.04,Finland,Europe,Finland,MW717676,Homo sapiens,B.1.463,3,202041,,Older,Smura et al A,,,,
MYS/NCOV59636/2021,2021-04-28,,20A,,0.29,Malaysia,Asia,Malaysia,OM062537,Homo sapiens,B.1.466.2,3,202117,,Older,Chan et al A,,,,
PAK/GL-NIBD-04/2020,2020-10-15,,20A,,0.19,Pakistan,Asia,Pakistan,MW411961,Homo sapiens,B.1.36.31,3,202042,,Older,Mukry et al,,,,
PAK/JRCGR_SCV-68/2020,2020-11-21,,20A,,0.21,Pakistan,Asia,Sindh,MW960290,Homo sapiens,B.1.36.31,3,202047,,Older,Irfan et al A,,,,
BGD/NGRI-R2-24/2020,2020-09-10,,20A,,0.02,Bangladesh,Asia,Bangladesh,OM967293,Homo sapiens,B.1.36.16,1,202037,,Older,Hossain et al,,,,
THA/CONI-0323/2020,2020-05-12,,20A,,0.02,Thailand,Asia,Bangkok,ON891941,Homo sapiens,B.1.36.16,1,202020,,One month ago,Batty et al D,,,,
THA/CONI-0399/2020,2020-12-19,,20A,,0.02,Thailand,Asia,Samut Sakhon,ON891876,Homo sapiens,B.1.36.16,2,202051,,One month ago,Batty et al E,,,,
THA/CONI-0610/2021,2021-03-03,,20A,,0,Thailand,Asia,Samut Sakhon,ON891692,Homo sapiens,B.1.36.16,2,202109,,One month ago,Batty et al F,,,,
IND/GBRC361a/2020,2020-06-05,,20A,,0.02,India,Asia,Gujarat,MT950230,Homo sapiens,B.1.36.8,1,202023,,Older,Bhatt et al,,Gujarat Biotechnology Research Centre,"GMERS Medical College and Hospital, Gandhinagar",
IND/GBRC507b/2020,2020-12-14,,20A,,0.04,India,Asia,India,MZ266553,Homo sapiens,B.1.36.8,2,202051,,Older,Saiyed et al,,,,
IRN/3533/2020,2020-10-10,,20A,,0.04,Iran,Asia,Iran,MZ314345,Homo sapiens,B.1.36.7,3,202041,,Older,Khosravi et al,,,,
NZL/20CV0556/2020,2020-11-11,,20A,,0.04,New Zealand,Oceania,Capital And Coast,OK426592,Homo sapiens,B.1.36,2,202046,,Older,Ren et al C,,Institute of Environmental Science and Research,Wellington SCL (WN),
NZL/20CV0563/2020,2020-11-18,,20A,,0.04,New Zealand,Oceania,Wellington,OK426474,Homo sapiens,B.1.36,2,202047,,Older,Ren et al D,,Institute of Environmental Science and Research,Wellington SCL (WN),
Estonia/Cov0222/2020,2020-09-14,,20A,,0.03,Estonia,Europe,Estonia,OU277616,Homo sapiens,B.1.36,2,202038,,Older,Avi et al A,,"Institute of Biomedicine and Translational Medicine, University of Tartu",,
CHN/RS4_pool/2021,2021-01-16,,20A,,0.08,China,Asia,China,MZ578003,Homo sapiens,B.1.36.27,1,202102,,Older,Xu et al,,,,
NZL/20VR3494/2020,2020-06-20,,20A,,0.06,New Zealand,Oceania,Auckland,OK426422,Homo sapiens,B.1.36,1,202025,,Older,Ren et al E,,Institute of Environmental Science and Research,Middlemore Hospital,
NZL/20CV0332/2020,2020-09-08,,20A,,0.09,New Zealand,Oceania,Canterbury,OK427120,Homo sapiens,B.1.36.18,2,202037,,Older,Ren et al F,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
NZL/20CV0362/2020,2020-09-21,,20A,,0.09,New Zealand,Oceania,Canterbury,OK427026,Homo sapiens,B.1.36.18,2,202039,,Older,Ren et al G,,Institute of Environmental Science and Research,LabPLUS,
EGY/PHARCO-ARMY25/2021,2021-02-09,,20A,,0.04,Egypt,Africa,Egypt,MW829326,Homo sapiens,B.1,2,202106,,Older,Helmy et al,,,,
OV081851,2020-05-12,,20A,,0.01,Saudi Arabia,Asia,Madinah,OV081851,Homo sapiens,B.1,1,202020,,Older,Naeem et al B,,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology (KAUST),
USA/PA-CDC-STM-A100104/2021,2021-01-03,,20A,,0.04,USA,North America,Pennsylvania,MW519849,Homo sapiens,B.1.280,1,202101,,Older,Cook et al A,,,,
KEN/SS2901/2021,2021-01-06,,20A,,0.06,Kenya,Africa,Kenya,OL548952,Homo sapiens,B.1.530,2,202101,,Older,Githinji et al A,,,,
CHL/Santiago-PUC_MVL_0027/2020,2020-03-25,,20A,,0.01,Chile,South America,Chile,MW365175,Homo sapiens,B.1.110,1,202013,,Older,Direct Submission et al A,,,,
USA/MA-MGH-01031/2020,2020-05-01,,20A,,0,USA,North America,Massachusetts,MT873331,Homo sapiens,B.1,1,202018,,Older,Lemieux et al A,,,Massachusetts Department of Public Health,
ETH/S11/2021,2021-01-28,,20A,,0.04,Ethiopia,Africa,Addis Ababa,OL840812,Homo sapiens,B.1.480,5,202104,,Older,Bitew et al A,,,,
BHR/340564387_S8_L001/2020,2020-08-25,,20A,,0,Bahrain,Asia,Bahrain,MW228052,Homo sapiens,B.1.281,1,202035,,Older,AlWasti et al A,,,,
MLT/Sliema_9/2020,2020-09-07,,20A,,0.02,Malta,Europe,Malta,MW079426,Homo sapiens,B.1.389,1,202037,,Older,Biazzo et al,,,,
ETH/39650_S8_L001_1/2020,2020-12-20,,20A,,0.12,Ethiopia,Africa,Ethiopia,MW703382,Homo sapiens,B.1,1,202052,,Older,Weldemariam et al A,,,,
DJI/NAMRU3_EB1/2020,2020-10-21,,20A,,0.1,Djibouti,Africa,Djibouti,OK018288,Homo sapiens,B.1,2,202043,,Older,Arnold et al A,,,,
ETH/39379_S7_L001_1/2020,2020-12-20,,20A,,0.08,Ethiopia,Africa,Ethiopia,MW703380,Homo sapiens,B.1,1,202052,,Older,Weldemariam et al B,,,,
ETH/S15/2021,2021-05-01,,20A,,0.07,Ethiopia,Africa,Addis Ababa,OL840816,Homo sapiens,B.1,2,202117,,Older,Bitew et al B,,,,
USA/WY-WYPHL-20011656/2020,2020-05-01,,20C,,-0.04,USA,North America,Wyoming,MW039235,Homo sapiens,B.1.434,1,202018,,Older,Hull et al A,,Wyoming Public Health Laboratory,Wyoming Public Health Laboratory,
VEN/3NE/2020,2020-04-10,,20C,,-0.04,Venezuela,South America,Venezuela,MT907516,Homo sapiens,B.1,1,202015,,Older,Loureiro et al B,,,,
LR963402,2020-03-01,,20C,,-0.02,Zimbabwe,Africa,Zimbabwe,LR963402,Homo sapiens,B.1,1,202010,,Older,Alikhan et al B,,Quadram Institute Bioscience,National Microbiology Reference Laboratory,
LR963466,2020-03-01,,20C,,-0.03,Zimbabwe,Africa,Zimbabwe,LR963466,Homo sapiens,B.1,1,202010,,Older,Alikhan et al C,,Quadram Institute Bioscience,National Microbiology Reference Laboratory,
USA/PR-CDC-S19/2020,2020-04-01,,20C,,-0.04,USA,North America,Puerto Rico,MT419822,Homo sapiens,B.1,1,202014,,Older,Santiago et al A,,,,
USA/AR-UAMS001/2020,2020-04-01,,20C,,-0.03,USA,North America,Arkansas,MT766907,Homo sapiens,B.1.319,1,202014,,Older,Jenjaroenpun et al,,,,
NZL/20CV0325/2020,2020-04-02,,20C,,-0.03,New Zealand,Oceania,Midcentral,OK427122,Homo sapiens,B.1,2,202014,,Older,Ren et al H,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
DJI/NAMRU3_013/2020,2020-06-15,,20C,,-0.02,Djibouti,Africa,Djibouti,OK018222,Homo sapiens,B.1.324,1,202025,,Older,Arnold et al B,,,,
DJI/NAMRU3_022/2020,2020-06-21,,20C,,0,Djibouti,Africa,Djibouti,OK018225,Homo sapiens,B.1.324,1,202026,,Older,Arnold et al C,,,,
DJI/NAMRU3_024/2020,2020-06-21,,20C,,-0.02,Djibouti,Africa,Djibouti,MZ970725,Homo sapiens,B.1.324,1,202026,,Older,Arnold et al D,,,,
USA/SD-SDPHL-0361/2020,2020-03-13,,20C,,-0.02,USA,North America,South Dakota,MZ346437,Homo sapiens,B.1,1,202011,,Older,Carlson et al A,,South Dakota Department of Health,South Dakota Public Health Laboratory,
NZL/20VR2931/2020,2020-04-25,,20C,,-0.02,New Zealand,Oceania,Auckland,OK426805,Homo sapiens,B.1,1,202017,,Older,Ren et al I,,Institute of Environmental Science and Research,LabPLUS,
NZL/20CV0273/2020,2020-03-23,,20C,,-0.02,New Zealand,Oceania,Nelson Marlborough,OK427093,Homo sapiens,B.1,1,202013,,Older,Ren et al J,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
AUS/VIC1316/2020,2020-04-11,,20C,,-0.02,Australia,Oceania,Victoria,MT641744,Homo sapiens,B.1,1,202015,,Older,Caly et al E,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
AUS/NT52/2020,2020-07-08,,20C,,-0.01,Australia,Oceania,Northern Territory,MT972100,Homo sapiens,B.1.595,1,202028,,Older,Sait et al D,,The Peter Doherty Institute for Infection and Immunity,Royal Darwin Hospital Pathology,
USA/CT-UW-510/2020,2020-06-08,,20C,,0.02,USA,North America,Connecticut,MT750092,Homo sapiens,B.1.595,1,202024,,Older,Moreno et al A,,,,
USA/MT-BHDH-2631/2020,2020-06-17,,20G,,0.07,USA,North America,Montana,MW861374,Homo sapiens,B.1.2,1,202025,,Older,Nemudryi et al,,,,
USA/TG758799/2020,2020-12-01,,20G,,0.09,USA,North America,Arizona,MZ910581,Homo sapiens,B.1.2,1,202049,,Older,Bowers et al A,,The Translational Genomics Research Institute COVID submission group,Sonora Quest Laboratories - Phoenix,
USA/42999/2020,2020-11-24,,20G,,0.06,USA,North America,Idaho,OM316430,Homo sapiens,B.1.2,1,202048,,Older,Beukelman et al A,,,,
USA/C014167729/2020,2020-12-02,,20G,,0.06,USA,North America,Idaho,OM315868,Homo sapiens,B.1.2,1,202049,,Older,Beukelman et al B,,,,
USA/MO-QDX-3367/2020,2020-09-29,,20G,,0.09,USA,North America,Missouri,MW522428,Homo sapiens,B.1.2,1,202040,,Older,Rosenthal et al B,,,,
USA/NC-CDC-LC0001520/2020,2020-12-28,,20G,,0.07,USA,North America,North Carolina,MW634722,Homo sapiens,B.1.2,1,202053,,Older,Cook et al B,,,,
USA/TX-CDC-QDX22357604/2021,2021-02-23,,20G,,0.15,USA,North America,Texas,MW733676,Homo sapiens,B.1.2,2,202108,,Older,Cook et al C,,,,
USA/KY-QDX-3515/2020,2020-09-11,,20G,,0.12,USA,North America,Kentucky,MW521720,Homo sapiens,B.1.2,1,202037,,Older,Rosenthal et al C,,,,
USA/WI-UW-2166/2020,2020-10-14,,20G,,0.09,USA,North America,Wisconsin,MW342027,Homo sapiens,B.1.2,1,202042,,Older,Moreno et al B,,,,
USA/1636434/2021,2021-03-24,,20G,,0.17,USA,North America,Iowa,ON062795,Homo sapiens,B.1.2,2,202112,,Older,Reeb et al A,,State Hygienic Laboratory at the University of Iowa,State Hygienic Laboratory at the University of Iowa,
USA/IL-QDX-4491/2020,2020-09-11,,20G,,0.02,USA,North America,Illinois,MW566505,Homo sapiens,B.1.2,1,202037,,Older,Rosenthal et al D,,,,
USA/KY-CDC-LC0014750/2021,2021-02-09,,20G,,0.05,USA,North America,Kentucky,MW705215,Homo sapiens,B.1.2,1,202106,,Older,Cook et al D,,,,
USA/TG968055/2020,2020-09-17,,20G,,0.06,USA,North America,Arizona,OK466237,Homo sapiens,B.1.2,1,202038,,Older,Bowers et al B,,The Translational Genomics Research Institute COVID submission group,Sonora Quest Laboratories - Phoenix,
USA/MP-CDC-2-3998359/2021,2021-02-20,,20G,,0.07,USA,North America,Northern Mariana Islands,MZ779751,Homo sapiens,B.1.2,1,202107,,Older,Sheth et al A,,,,
USA/FL-QDX-1775/2020,2020-03-16,,20C,,-0.03,USA,North America,Florida,MW190458,Homo sapiens,B.1,1,202012,,Older,Rosenthal et al E,,Quest Diagnostics,Quest Diagnostics,
USA/IL-QDX-198/2020,2020-04-30,,20C,,-0.03,USA,North America,Illinois,MT786814,Homo sapiens,B.1,1,202018,,Older,Rosenthal et al F,,,,
TUN/TUN_ADAGE_EZ432/2020,2020-05-30,,20C,,-0.03,Tunisia,Africa,Tunisia,MT955169,Homo sapiens,B.1,2,202022,,Older,Souissi et al A,,,,
TUN/TUN_ADAGE_EZ504/2020,2020-05-31,,20C,,-0.03,Tunisia,Africa,Tunisia,MT955170,Homo sapiens,B.1,2,202023,,Older,Souissi et al B,,,,
USA/CT-Yale-333/2020,2020-05-12,,20C,,-0.04,USA,North America,Connecticut,MT886446,Homo sapiens,B.1,1,202020,,Older,Fauver et al B,,Yale School of Public Health,Yale COVID-19 Biorepository,
ISR/NH_GD1/2020,2020-07-14,,20C,,0,Israel,Asia,Israel,MW237708,Homo sapiens,B.1.504,1,202029,,Older,Zaide et al,,,,
PRY/WOR12903A606_202103291_2-4710517/2020,2020-07-12,,20C,,-0.03,Paraguay,South America,Paraguay,ON017215,Homo sapiens,B.1.499,1,202029,,Older,Vazquez et al C,,,,
ARG/Cordoba-83535/2020,2020-09-13,,20C,,-0.04,Argentina,South America,Argentina,MW633891,Homo sapiens,B.1.499,2,202038,,Older,Castro et al,,,,
BEN/1408/2020,2020-04-04,,20C,,-0.03,Benin,Africa,Benin,MT653074,Homo sapiens,B.1.356,1,202014,,Older,Sander et al B,,,,
USA/MD-NIH-00017/2020,2020-08-08,,20C,,0,USA,North America,Maryland,MW681012,Homo sapiens,B.1.369,3,202032,,Older,Roder et al,,,,
NZL/20VR2032/2020,2020-04-01,,20C,,-0.03,New Zealand,Oceania,Wellington,OK426706,Homo sapiens,B.1.369,1,202014,,Older,Ren et al K,,Institute of Environmental Science and Research,Wellington SCL (WN),
USA/MD-MDH-0084/2020,2020-05-25,,20C,,-0.01,USA,North America,Maryland,MT827250,Homo sapiens,B.1.369,1,202022,,Older,Keller et al A,,,,
USA/MP-CDC-2-3830938/2021,2021-01-02,,20C,,-0.03,USA,North America,Northern Mariana Islands,MZ779290,Homo sapiens,B.1.369,1,202053,,Older,Sheth et al B,,,,
